day,menu
1,"蒸しパンケーキ・ももゼリー・お茶・ごはん・たけのこごはん・五目汁・鮭の香り焼き・ひじきの煮物・オレンジゼリー・牛乳"
2,"ごはん・みそ汁（お麩とねぎ）・肉団子の甘辛煮・蛇の目サラダ・ソフトサラダせんべい・お茶"
3,"おやすみ"
4,"おやすみ"
5,"おやすみ"
6,"おやすみ"
7,"ごはん・にら玉汁・鱈のホイル焼き・野菜サラダ・フルーツポンチ・お茶"
8,"ごはん・コンソメスープ・厚揚げのカレー煮・中華サラダ・ミロフレンチトースト・牛乳"
9,"チャーハン・キャベツスープ・チキンナゲット・グレープゼリー・アンパンマンソフトせんべい・お茶"
10,"ごはん（海苔の佃煮）・みそ汁（えのきと玉子）・ちくわのチーズ揚げ・トマトのシーザーサラダ・バナナのスティックケーキ・牛乳"
11,"おやすみ"
12,"胚芽ごはん・すまし汁（なるととねぎ）・さばの塩焼き・小松菜のなめたけ和え（納豆）・かっぱえびせん・ミロ"
13,"ロールパン・コーンポタージュ・鶏肉の照り焼き・にんじんのごまサラダ・わかめおにぎり・お茶"
14,"ごはん・具だくさん汁・ほっけのみそ漬け・ラーメンサラダ・マシュマロヨーグルト・牛乳"
15,"ごはん・ドライカレー・ほうれん草の玉子サラダ・ブルーベリーゼリー・ホットケーキミックスブレッド・お茶"
16,"胚芽ごはん・麦ごはん・麦ごはん（ふりかけ）・焼肉丼・ごはん（納豆）・菜の花サンド"
17,"おやすみ"
18,"おやすみ"
19,"胚芽ごはん・わかめスープ・チンジャオロース・シルバーサラダ・お麩スナック・牛乳"
20,"麦ごはん・みそ汁（豆腐とわかめ）・鱈のケチャップ和え・ポテトサラダ・ミニ鯛焼き・牛乳"
21,"麦ごはん（ふりかけ）・みそ汁（玉ねぎと板麩）・すり身の春巻き揚げ・ささみと大根の梅肉サラダ・いも餅・牛乳"
22,"焼肉丼・オニオンスープ・ナムル・ソフールレモン・小豆のパウンドケーキ・牛乳"
23,"ごはん（納豆）・みそ汁（ふのりとねぎ）・肉じゃが・豆苗と玉子のサラダ・フルーツサンデー・お茶"
24,"菜の花サンド・チキンポトフ・フルーツキャロットゼリー・たべっこどうぶつ・牛乳"
25,"おやすみ"
26,"胚芽ごはん・みそ汁（わかめとねぎ）・すき焼き風煮・磯和え・フルーツヨーグルト・お茶"
27,"ロールパン・レタススープ・マカロニグラタン・ブロッコリーのおかか和え・焼き豚おにぎり・牛乳"
28,"わかめごはん・みそ汁（じゃがいもと絹さや）・エビフライ・ごぼうサラダ・ロールケーキ・ミロ"
29,"ごはん・みそ汁（大根と油揚げ）・千草焼き・炒め納豆・まがりせんべい・お茶"
30,"ごはん・チキンカレー・ミモザサラダ・元気ヨーグルト・お好み焼き・お茶"
31,"焼きそば・ポパイスープ・シュウマイ・青りんごゼリー・ベジたべる・お茶"
