day,menu
1,"塩パン・コンソメスープ・鶏肉の照り焼き・スパゲティサラダ・わかめおにぎり・麦茶"
2,"焼きそば・親子スープ・チキンナゲット・グレープゼリー・サッポロポテト・麦茶"
3,"日曜日"
4,"ごはん・チキンカレー・豆腐サラダ・オレンジ・アイスクリーム"
5,"ごはん・中華風コーンスープ・チンジャオロース・ラーメンサラダ・ミロトースト・牛乳"
6,"ごはん・けんちん汁・さばの塩焼き・シルバーサラダ・ポテトチップス・ミルージュ"
7,"ロールパン・オニオンスープ・スコッチエッグ・コールスローサラダ・そうめん"
8,"胚芽ごはん(納豆)・みそ汁(ふのりとねぎ)・鶏肉と大根のべっこう煮・ブロッコリーのごまマヨ和え・フルーチェムース"
9,"サンドイッチ（ハムチーズとジャム）・レタススープ・ポップコーンシュリンプ・牛乳プリン・たべっこどうぶつ・麦茶"
10,"日曜日"
11,"山の日"
12,"麦ごはん(納豆)・みそ汁(えのきとねぎ)・他人煮・ほうれん草のおひたし・とんがりコーン・ミロ"
13,"ごはん・かにかまとコーンのスープ・麻婆豆腐・にんじんのごまサラダ・ミニメロンパン・牛乳"
14,"ホエーごはん(海苔の佃煮)・春雨スープ・豚肉のマーマレード焼き・パンプキンサラダ・プリンアラモード"
15,"胚芽ごはん・にら玉汁・鱈の変わりソース・小松菜のなめたけ和え(納豆)・ホットケーキミックスブレッド・牛乳"
16,"冷やし中華・しゅうまい・フルーツキャロットゼリー・かっぱえびせん・麦茶"
17,"日曜日"
18,"ごはん(ふりかけ)・すまし汁(なるととねぎ)・すり身の春巻き揚げ・メロン"
19,"ごはん・根菜ドライカレー・カミカミサラダ・元気ヨーグルト・原宿ドッグ・牛乳"
20,"麦ごはん・みそ汁(じゃがいもとわかめ)・ほっけのみそ漬け・ゆで鶏のごまだれ和え・お米de豆乳プリンタルト・牛乳"
21,"肉みそとオクラのぶっかけそうめん・鶏肉のから揚げ・ももゼリー・だしふりかけじゃこおにぎり・麦茶"
22,"ごはん・みそ汁(なめこと大根)・鮭の胡麻味噌マヨネーズ焼き・ポテトサラダ・フルーツヨーグルト"
23,"チキンピラフ・具だくさん豆乳スープ・カレーロール・ブルガリアヨーグルト・ベジたべる・麦茶"
24,"日曜日"
25,"ガパオライス・わかめともやしのスープ・春雨サラダ・すいか・とうもろこし・麦茶"
26,"胚芽ごはん・五目汁・カツオカツ・きんぴら・きなこのホットケーキ・牛乳"
27,"ごはん・みそ汁(玉子とねぎ)・鶏肉の磯辺揚げ・ナムル・アイスクリーム"
28,"ごはん・キノスープ・ハンバーグ・蛇の目サラダ・じゃがいものガレッド・牛乳"
29,"麦ごはん・みそ汁(豆腐とわかめ)・鮭の塩麹焼き・切干大根の煮物、チーズ・フレンチトースト・牛乳"
30,"こぎつねごはん・具だくさん汁・メンチカツ・プリン・アンパンマン一口ビスケット・麦茶"
31,"日曜日"
